alpha,beta,rho,length,diff
0,1,0.0,130,0
0,1,0.3,130,0
0,1,0.5,131,1
0,1,1.0,130,0
0.1,0.9,0.0,130,0
0.1,0.9,0.3,130,0
0.1,0.9,0.6,131,1
0.1,0.9,1.0,130,0
0.2,0.8,0.0,130,0
0.2,0.8,0.3,131,1
0.2,0.8,0.6,131,1
0.2,0.8,1.0,130,0
0.3,0.7,0.0,131,1
0.3,0.7,0.4,130,0
0.3,0.7,0.9,131,1
0.3,0.7,1.0,130,0
0.4,0.6,0.0,130,0
0.4,0.6,0.4,131,1
0.4,0.6,0.5,130,0
0.4,0.6,1.0,130,0
0.5,0.5,0.0,130,0
0.5,0.5,0.3,131,1
0.5,0.5,0.7,131,1
0.5,0.5,1.0,130,0
0.6,0.4,0.3,136,6
0.6,0.4,0.6,133,3
0.6,0.4,0.7,130,0
0.7,0.3,0.0,130,0
0.7,0.3,0.3,135,5
0.7,0.3,0.6,133,3
0.8,0.2,0.0,140,10
0.8,0.2,0.5,134,4
0.8,0.2,0.7,131,1
0.8,0.2,1.0,130,0
0.9,0.1,0.0,134,4
0.9,0.1,0.3,132,2
0.9,0.1,0.5,134,4
1.0,0.0,0.0,145,15
1.0,0.0,0.4,133,3
1.0,0.0,0.7,142,12